AK1, AL3
AK14, AL18
AK23, AL18
AN1, AL3
AN14, AL18
AN23, AL18
AN7, AL3
AU105, AY100
AU114, AY110
AU122, AY118
AU131, AY135
AU140, AY145
AU149, AY153
AU158, AY153
AU16, AY12
AU167, AY163
AU176, AY171
AU184, AY181
AU192, AY196
AU2, AY1
AU200, AY204
AU209, AY214
AU218, AY214
AU227, AY222
AU236, AY231
AU244, AY248
AU25, AY29
AU253, AY257
AU262, AY266
AU271, AY266
AU280, AY275
AU289, AY284
AU297, AY302
AU306, AY310
AU314, AY319
AU324, AY319
AU332, AY328
AU34, AY39
AU342, AY337
AU350, AY355
AU360, AY364
AU367, AY371
AU374, AY371
AU381, AY378
AU389, AY384
AU396, AY399
AU404, AY408
AU411, AY415
AU418, AY421
AU425, AY421
AU43, AY47
AU433, AY428
AU440, AY436
AU448, AY452
AU455, AY459
AU52, AY47
AU60, AY57
AU69, AY64
AU78, AY82
AU87, AY92
AU9, AY6
AU96, AY100
BC105, BE100
BC114, BE110
BC122, BE118
BC131, BE135
BC140, BE145
BC149, BE153
BC158, BE153
BC16, BE12
BC167, BE163
BC176, BE171
BC184, BE181
BC192, BE196
BC2, BE1
BC200, BE204
BC209, BE214
BC218, BE214
BC227, BE222
BC236, BE231
BC244, BE248
BC25, BE29
BC253, BE257
BC262, BE266
BC271, BE266
BC280, BE275
BC289, BE284
BC297, BE302
BC306, BE310
BC314, BE319
BC324, BE319
BC332, BE328
BC34, BE39
BC342, BE337
BC350, BE355
BC360, BE364
BC367, BE371
BC374, BE371
BC381, BE378
BC389, BE384
BC396, BE399
BC404, BE408
BC411, BE415
BC418, BE421
BC425, BE421
BC43, BE47
BC433, BE428
BC440, BE436
BC448, BE452
BC455, BE459
BC52, BE47
BC60, BE57
BC69, BE64
BC78, BE82
BC87, BE92
BC9, BE6
BC96, BE100
BH105, BL100
BH114, BL110
BH122, BL118
BH131, BL135
BH140, BL145
BH149, BL153
BH158, BL153
BH16, BL12
BH167, BL163
BH176, BL171
BH184, BL181
BH192, BL196
BH2, BL1
BH200, BL204
BH209, BL214
BH218, BL214
BH227, BL222
BH236, BL231
BH244, BL248
BH25, BL29
BH253, BL257
BH262, BL266
BH271, BL266
BH280, BL275
BH289, BL284
BH297, BL302
BH306, BL310
BH314, BL319
BH324, BL319
BH332, BL328
BH34, BL39
BH342, BL337
BH350, BL355
BH360, BL364
BH367, BL371
BH374, BL371
BH381, BL378
BH389, BL384
BH396, BL399
BH404, BL408
BH411, BL415
BH418, BL421
BH425, BL421
BH43, BL47
BH433, BL428
BH440, BL436
BH448, BL452
BH455, BL459
BH52, BL47
BH60, BL57
BH69, BL64
BH78, BL82
BH87, BL92
BH9, BL6
BH96, BL100
BP105, BL100
BP114, BL110
BP122, BL118
BP131, BL135
BP140, BL145
BP149, BL153
BP158, BL153
BP16, BL12
BP167, BL163
BP176, BL171
BP184, BL181
BP192, BL196
BP2, BL1
BP200, BL204
BP209, BL214
BP218, BL214
BP227, BL222
BP236, BL231
BP244, BL248
BP25, BL29
BP253, BL257
BP262, BL266
BP271, BL266
BP280, BL275
BP289, BL284
BP297, BL302
BP306, BL310
BP314, BL319
BP324, BL319
BP332, BL328
BP34, BL39
BP342, BL337
BP350, BL355
BP360, BL364
BP367, BL371
BP374, BL371
BP381, BL378
BP389, BL384
BP396, BL399
BP404, BL408
BP411, BL415
BP418, BL421
BP425, BL421
BP43, BL47
BP433, BL428
BP440, BL436
BP448, BL452
BP455, BL459
BP52, BL47
BP60, BL57
BP69, BL64
BP78, BL82
BP87, BL92
BP9, BL6
BP96, BL100
BW105, BT100
BW114, BT110
BW122, BT118
BW131, BT135
BW140, BT145
BW149, BT153
BW158, BT153
BW16, BT12
BW167, BT163
BW176, BT171
BW184, BT181
BW192, BT196
BW2, BT1
BW200, BT204
BW209, BT214
BW218, BT214
BW227, BT222
BW236, BT231
BW244, BT248
BW25, BT29
BW253, BT257
BW262, BT266
BW271, BT266
BW280, BT275
BW289, BT284
BW297, BT302
BW306, BT310
BW314, BT319
BW324, BT319
BW332, BT328
BW34, BT39
BW342, BT337
BW350, BT355
BW360, BT364
BW367, BT371
BW374, BT371
BW381, BT378
BW389, BT384
BW396, BT399
BW404, BT408
BW411, BT415
BW418, BT421
BW425, BT421
BW43, BT47
BW433, BT428
BW440, BT436
BW448, BT452
BW455, BT459
BW52, BT47
BW60, BT57
BW69, BT64
BW78, BT82
BW87, BT92
BW9, BT6
BW96, BT100
CD105, CB100
CD114, CB110
CD122, CB118
CD131, CB135
CD140, CB145
CD149, CB153
CD158, CB153
CD16, CB12
CD167, CB163
CD176, CB171
CD184, CB181
CD192, CB196
CD2, CB1
CD200, CB204
CD209, CB214
CD218, CB214
CD227, CB222
CD236, CB231
CD244, CB248
CD25, CB29
CD253, CB257
CD262, CB266
CD271, CB266
CD280, CB275
CD289, CB284
CD297, CB302
CD306, CB310
CD314, CB319
CD324, CB319
CD332, CB328
CD34, CB39
CD342, CB337
CD350, CB355
CD360, CB364
CD367, CB371
CD374, CB371
CD381, CB378
CD389, CB384
CD396, CB399
CD404, CB408
CD411, CB415
CD418, CB421
CD425, CB421
CD43, CB47
CD433, CB428
CD440, CB436
CD448, CB452
CD455, CB459
CD52, CB47
CD60, CB57
CD69, CB64
CD78, CB82
CD87, CB92
CD9, CB6
CD96, CB100
CK105, CN100
CK114, CN110
CK122, CN118
CK131, CN135
CK140, CN145
CK149, CN153
CK158, CN153
CK16, CN12
CK167, CN163
CK176, CN171
CK184, CN181
CK192, CN196
CK2, CN1
CK200, CN204
CK209, CN214
CK218, CN214
CK227, CN222
CK236, CN231
CK244, CN248
CK25, CN29
CK253, CN257
CK262, CN266
CK271, CN266
CK280, CN275
CK289, CN284
CK297, CN302
CK306, CN310
CK314, CN319
CK324, CN319
CK332, CN328
CK34, CN39
CK342, CN337
CK350, CN355
CK360, CN364
CK367, CN371
CK374, CN371
CK381, CN378
CK389, CN384
CK396, CN399
CK404, CN408
CK411, CN415
CK418, CN421
CK425, CN421
CK43, CN47
CK433, CN428
CK440, CN436
CK448, CN452
CK455, CN459
CK52, CN47
CK60, CN57
CK69, CN64
CK78, CN82
CK87, CN92
CK9, CN6
CK96, CN100
CT105, CW100
CT114, CW110
CT122, CW118
CT131, CW135
CT140, CW145
CT149, CW153
CT158, CW153
CT16, CW12
CT167, CW163
CT176, CW171
CT184, CW181
CT192, CW196
CT2, CW1
CT200, CW204
CT209, CW214
CT218, CW214
CT227, CW222
CT236, CW231
CT244, CW248
CT25, CW29
CT253, CW257
CT262, CW266
CT271, CW266
CT280, CW275
CT289, CW284
CT297, CW302
CT306, CW310
CT314, CW319
CT324, CW319
CT332, CW328
CT34, CW39
CT342, CW337
CT350, CW355
CT360, CW364
CT367, CW371
CT374, CW371
CT381, CW378
CT389, CW384
CT396, CW399
CT404, CW408
CT411, CW415
CT418, CW421
CT425, CW421
CT43, CW47
CT433, CW428
CT440, CW436
CT448, CW452
CT455, CW459
CT52, CW47
CT60, CW57
CT69, CW64
CT78, CW82
CT87, CW92
CT9, CW6
CT96, CW100
DB105, DE100
DB114, DE110
DB122, DE118
DB131, DE135
DB140, DE145
DB149, DE153
DB158, DE153
DB16, DE12
DB167, DE163
DB176, DE171
DB184, DE181
DB192, DE196
DB2, DE1
DB200, DE204
DB209, DE214
DB218, DE214
DB227, DE222
DB236, DE231
DB244, DE248
DB25, DE29
DB253, DE257
DB262, DE266
